Year,SiteName,Dasycercus cristicauda,Ningaui ridei,Notomys alexis,Pseudomys hermannsburgensis,Sminthopsis youngsoni,Pseudomys desertor,Rattus villosissimus,Mus musculus,AvgOfSpinCover,AvgOfSpinSeed,maxSeed,AvgOfMeanEvent,RainDays,MaxRain,Rain,RainBom1
1990,Main Camp,0.14619883,0.229741019,1.336675021,1.482873851,2.130325815,0.062656642,0,0,,,,0.80125,,,,174.8
1991,Main Camp,0.072385089,0.171914586,2.79587405,5.202678248,0.316684763,0.027144408,1.230546507,0.018096272,,,,2.12375,,,,163.5
1992,Main Camp,0.294418843,0.115207373,5.120327701,7.475678443,0.204813108,0.076804916,1.843317972,0.051203277,,,,5.034833333,,,,426.96
1993,Main Camp,0.035612536,0.089031339,0.302706553,1.032763533,0.480769231,0.035612536,0,0.16025641,28.75,0,0,7.428857142,,,,270.26
1994,Carlo,0,0,0,0.694444444,0,0,0,0,,,,,,,,213.3
1994,Main Camp,0.012950013,0.103600104,0,0.246050246,0.556850557,0,0,0.051800052,23.06018519,0.092592593,0.277777778,2.648611112,,,,113.725
1995,Carlo,0,0,0.046296296,0.648148148,0.925925926,0,0,0.648148148,20,1.225,1.866666667,4.014285715,24,22.6,99,350.14
1995,Field River South,0.231481481,0.462962963,0.046296296,0.555555556,0.972222222,0,0.046296296,0.138888889,33.86666667,2.066666667,2.066666667,5.923148148,26,23.4,146.6,99
1995,Main Camp,0.015782828,0.110479798,0,0.315656566,0.710227273,0.015782828,0,0.110479798,29.80069444,1.045740741,2.8,6.604734849,22,26.6,76,146.6
1996,Carlo,0,0,0,0.925925926,1.049382716,0,0,0.24691358,21.73611111,1.081944444,3.133333333,2.75,18,40.4,127.6,76
1996,Field River South,0.273224044,0.546448087,0,0.227686703,0.591985428,0,0,0.045537341,21.04166667,1.1,1.5,7.75,23,44.6,136.6,127.6
1996,Kunnamuka Swamp East,0,0.462962963,0,0.462962963,0.462962963,0,0,0,31,0,0,,,,,136.6
